length,fidelity
10,0.7999999999999998
20,0.7399999999999999
30,0.8399999999999999
40,0.7499999999999999
50,0.7899999999999998
60,0.8899999999999999
70,0.8099999999999998
80,0.8399999999999999
90,0.7399999999999999
100,0.8299999999999998
110,0.7999999999999998
120,0.7599999999999999
130,0.7299999999999999
140,0.8199999999999998
150,0.7199999999999999
160,0.7799999999999998
170,0.7099999999999999
180,0.7999999999999998
190,0.8099999999999998
200,0.7999999999999998
210,0.8099999999999998
220,0.8099999999999998
230,0.8199999999999998
240,0.7799999999999998
250,0.8099999999999998
260,0.7199999999999999
270,0.8199999999999998
280,0.7299999999999999
290,0.7999999999999998
300,0.8099999999999998
310,0.7799999999999998
320,0.7899999999999998
330,0.7799999999999998
340,0.7999999999999998
350,0.8299999999999998
360,0.8099999999999998
370,0.7999999999999998
380,0.7899999999999998
390,0.7799999999999998
400,0.7099999999999999
410,0.7599999999999999
420,0.7299999999999999
430,0.7599999999999999
440,0.7299999999999999
450,0.7799999999999998
460,0.7699999999999999
470,0.8299999999999998
480,0.7099999999999999
490,0.7699999999999999
500,0.7699999999999999
510,0.7999999999999998
520,0.8599999999999999
530,0.7999999999999998
540,0.7999999999999998
550,0.7099999999999999
560,0.8599999999999999
570,0.6999999999999998
580,0.8099999999999998
590,0.7599999999999999
600,0.7899999999999998
610,0.7899999999999998
620,0.7599999999999999
630,0.7399999999999999
640,0.7799999999999998
650,0.7499999999999999
660,0.7599999999999999
670,0.7299999999999999
680,0.7599999999999999
690,0.6899999999999998
700,0.7599999999999999
710,0.7399999999999999
720,0.7299999999999999
730,0.7499999999999999
740,0.6999999999999998
750,0.7599999999999999
760,0.7599999999999999
770,0.7999999999999998
780,0.7999999999999998
790,0.7599999999999999
800,0.7199999999999999
810,0.7299999999999999
820,0.7799999999999998
830,0.7999999999999998
840,0.7299999999999999
850,0.7499999999999999
860,0.7099999999999999
870,0.7199999999999999
880,0.7399999999999999
890,0.8299999999999998
900,0.7499999999999999
910,0.7899999999999998
920,0.7899999999999998
930,0.7999999999999998
940,0.7999999999999998
950,0.7399999999999999
960,0.7599999999999999
970,0.7999999999999998
980,0.7799999999999998
990,0.7499999999999999
